AgentName, GameName, Level, Win, Score, Time
STSAMCTSExpSc,waferthinmints,0,-1,0.0,0.0
STSAMCTSExpSc,waferthinmints,1,-100,-1000.0,4.0
STSAMCTSExpSc,waferthinmints,2,-100,-1000.0,4.0
STSAMCTSExpSc,waferthinmints,3,-100,-1000.0,19.0
STSAMCTSExpSc,waferthinmints,4,-1,0.0,0.0
AgentName, GameName, Level, Win, Score, Time
STSAMCTSExpSc,waferthinmints,0,-1,0.0,0.0
STSAMCTSExpSc,waferthinmints,1,-100,-1000.0,11.0
STSAMCTSExpSc,waferthinmints,2,-100,-1000.0,11.0
STSAMCTSExpSc,waferthinmints,3,-100,-1000.0,12.0
STSAMCTSExpSc,waferthinmints,4,-100,-1000.0,6.0
AgentName, GameName, Level, Win, Score, Time
STSAMCTSExpSc,waferthinmints,0,-1,0.0,0.0
STSAMCTSExpSc,waferthinmints,1,-100,-1000.0,2.0
STSAMCTSExpSc,waferthinmints,2,-100,-1000.0,28.0
STSAMCTSExpSc,waferthinmints,3,-100,-1000.0,1.0
STSAMCTSExpSc,waferthinmints,4,-100,-1000.0,4.0
